"U_ID","Transcription","Repair","Pair","Interlocutor","Task"
"41_Spontaneous","eh",0,"41","41_A","Spontaneous"
"41_Spontaneous","Jeg tror ikke vi kommer gjennom alle sånn er det xxx",0,"41","41_A","Spontaneous"
"41_Spontaneous","haha",0,"41","41_B","Spontaneous"
"41_Spontaneous","jeg vet ikke jeg følte de her var utrolig personlige jeg tenker sånn shit haha xxx fortell anbefal to TV-serier som du tror den andre vil like",0,"41","41_B","Spontaneous"
"41_Spontaneous","haha",0,"41","41_A","Spontaneous"
"41_Spontaneous","mm",0,"41","41_B","Spontaneous"
"41_Spontaneous","nei det for det blir vanskelig",0,"41","41_A","Spontaneous"
"41_Spontaneous","ja haha",0,"41","41_B","Spontaneous"
"41_Spontaneous","mm",0,"41","41_A","Spontaneous"
"41_Spontaneous","mm",0,"41","41_A","Spontaneous"
"41_Spontaneous","eh",0,"41","41_B","Spontaneous"
"41_Spontaneous","kanskje vi bare skal gå inn i to roller som som ikke er oss men som noen andre haha fortell hva du er virkelig dårlig på det føler jeg kan ta mye tid igjen",0,"41","41_B","Spontaneous"
"41_Spontaneous","ja",0,"41","41_A","Spontaneous"
"41_Spontaneous","xxx (se kommentar)",0,"41","41_A","Spontaneous"
"41_Spontaneous","ja sant haha en lengre liste med ting jeg klarer det ikke",0,"41","41_A","Spontaneous"
"41_Spontaneous","mm",0,"41","41_B","Spontaneous"
"41_Spontaneous","eh ok xxx",0,"41","41_A","Spontaneous"
"41_Spontaneous","xxx komme ned i mode",0,"41","41_B","Spontaneous"
"41_Spontaneous","mm",0,"41","41_B","Spontaneous"
"41_Spontaneous","åh okay ja absolutt",0,"41","41_B","Spontaneous"
"41_Spontaneous","okay xxx knock yourself out eh discuss any xxx så vi må jo liksom bli enig",0,"41","41_A","Spontaneous"
"41_Spontaneous","ja haha (suk)",0,"41","41_B","Spontaneous"
"41_Spontaneous","det er litt av poenget",0,"41","41_A","Spontaneous"
"41_Spontaneous","på to ulike typer superpowers okay",0,"41","41_B","Spontaneous"
"41_Spontaneous","mm",0,"41","41_A","Spontaneous"
"41_Spontaneous","så du kan ha to (xxx) fordi alle andre mennesker som stiller deg det spørsmålet (xxx) bare én men mye",0,"41","41_A","Spontaneous"
"41_Spontaneous","haha her en en (xxx) rett og slett eh ja fordi eh når folk sier usynlighet det her har jeg veldig mye imot jeg syns jeg ser ikke poenget med det",0,"41","41_B","Spontaneous"
"41_Spontaneous","mm",0,"41","41_A","Spontaneous"
"41_Spontaneous","nei",0,"41","41_A","Spontaneous"
"41_Spontaneous","jeg har ikke lyst til eh",0,"41","41_B","Spontaneous"
"41_Spontaneous","hva skal man gjøre med det? så ender man opp med å gå rundt og så har du ingen venner da på en måte",0,"41","41_A","Spontaneous"
"41_Spontaneous","mm",0,"41","41_B","Spontaneous"
"41_Spontaneous","det er det og også sånn folk bare ja men da kan jeg høre hva folk egentlig mener og sånt jeg vil ikke høre hva folk egentlig mener i det hele tatt",0,"41","41_B","Spontaneous"
"41_Spontaneous","xxx",0,"41","41_A","Spontaneous"
"41_Spontaneous","haha idet du idet du blir usynlig alle bare åh Ida haha jeg orker ikke (suk) nei",0,"41","41_B","Spontaneous"
"41_Spontaneous","det er utrolig dårlig utgangspunkt",0,"41","41_A","Spontaneous"
"41_Spontaneous","eh",0,"41","41_B","Spontaneous"
"41_Spontaneous","jeg synes det er nederst på listen for du skal ta hele sant haha",0,"41","41_A","Spontaneous"
"41_Spontaneous","ja ja haha",0,"41","41_B","Spontaneous"
"41_Spontaneous","jeg begynner med det ikke usynlighet nei eh jeg vet ikke flying virker jo kult da",0,"41","41_B","Spontaneous"
"41_Spontaneous","ja men der er det igjen litt samme som usynlighet hvis du skal begynne å fly hele tiden så har du mange venner som er sånn åh herregud kan ikke du bare ta bussen som vanlige mennesker også har du (xxx) alene da",0,"41","41_A","Spontaneous"
"41_Spontaneous","ja",0,"41","41_B","Spontaneous"
"41_Spontaneous","mm",0,"41","41_B","Spontaneous"
"41_Spontaneous","ja haha",0,"41","41_B","Spontaneous"
"41_Spontaneous","og på nachspielet skal du fly hjem (haha)",0,"41","41_B","Spontaneous"
"41_Spontaneous","skal alltid gjøre det før klokken blir fem",0,"41","41_A","Spontaneous"
"41_Spontaneous","haha",0,"41","41_B","Spontaneous"
"41_Spontaneous","bare fordi du kan spille Wonderwall opp under taket det er jo null poeng ja okay ja",0,"41","41_B","Spontaneous"
"41_Spontaneous","haha",0,"41","41_A","Spontaneous"
"41_Spontaneous","okay jeg spiller Wonderwall opp under taket ja",0,"41","41_A","Spontaneous"
"41_Spontaneous","haha",0,"41","41_B","Spontaneous"
"41_Spontaneous","okay men eh",0,"41","41_B","Spontaneous"
"41_Spontaneous","eh",0,"41","41_A","Spontaneous"
"41_Spontaneous","for tankelesing synes jeg også er utelukket det går litt inni den samme usynlighetskategorien synes jeg",0,"41","41_B","Spontaneous"
"41_Spontaneous","vi kan ikke bare sitte her og bare sånn snakke om alle superkreftene vi ikke vil ha",0,"41","41_A","Spontaneous"
"41_Spontaneous","haha (suk) okay men hva med det hadde vært litt digg å vært supersterk",0,"41","41_B","Spontaneous"
"41_Spontaneous","ja eh det hadde vært litt digg sånn men bare sånn når du skal flytte for eksempel eller skal være på IKEA",0,"41","41_A","Spontaneous"
"41_Spontaneous","ja sant fordi fysisk styrke lønner seg ikke når man er (xxx) samfunn faktisk",0,"41","41_B","Spontaneous"
"41_Spontaneous","det gjør jo ikke det",0,"41","41_A","Spontaneous"
